barcode;prix_vente
9789954074572;40,00
9782733887004;160,00
9782733856468;175,00
9782733853580;95,00
9782733853597;95,00
9782733838297;100,00
9782733830611;99,00
9782733843444;255,00
9782733806920;245,00
9782733811542;30,00
9782733826171;25,00
9782733845394;100,00
9782733886762;115,00
9782210763708;116,00
9782210764354;132,00
9782210779402;132,00
9782210770836;172,00
9782733864517;65,00
9782091868080;91,00
9782091868097;147,00
9782095026271;156,00
9782095026288;156,00
9782095026257;156,00
9782095026264;156,00
9954073019;33,00
9954072837;19,00
9954073590;27,00
9954073469;21,00
9954073964;37,00
9782091251745;51,50
9782091251769;51,50
9782091252483;51,50
9782091252506;51,50
9782095017200;55,50
9782091251820;55,50
9782091251844;55,50
9782091251868;55,50
9782091033754;133,50
9782095029913;119,50
9782095029951;60,00
9782095029944;66,50
9782095029968;73,50
9782091843735;104,00
9782091843742;66,00
9782091843759;132,50
9782091861166;66,00
9782091249155;103,00
9782091249162;103,00
9782091243757;73,00
9782091249193;61,00
9782091249209;61,00
9782091249216;61,00
9782091249223;61,00
9782091249230;61,00
9782091222448;116,50
9782091222455;116,50
9782091227016;69,00
9782091227023;69,00
9782091227030;69,00
9782091227047;69,00
9782091227054;69,00
9782091227061;69,00
9782091227078;69,00
9782091227085;69,00
9782091240886;116,50
9782091240893;116,50
9782091228013;69,00
9782091228020;69,00
9782091228037;69,00
9782091228044;69,00
9782091228051;69,00
9782091228068;69,00
9782095030346;170,50
9782095033507;153,50
9782095063740;73,00
9782095063719;59,50
9782095063726;59,50
9782095063733;59,50
9782095014735;121,50
9782095014773;121,50
9782095014742;79,50
9782095014759;79,50
9782095048679;121,50
9782095048686;121,50
9782095048693;131,00
9782091249018;162,50
9782091249025;121,50
9782091243955;77,00
9782091249063;59,50
9782091249070;59,50
9782091249087;59,50
9782091249094;59,50
9782091249100;59,50
9782095048358;191,50
9782095048372;131,00
9782091243443;99,00
9782091243450;99,00
3133091222147;304,00
9782091249247;99,00
9782091249254;99,00
3133091243746;304,00
9782091241869;191,50
9782091241876;99,00
9782091241883;99,00
9782091215556;231,00
9782091215563;128,50
9782091215570;128,50
9782091220307;118,50
9782091220314;105,00
9782091220321;118,50
